molecule_chembl_id,molecule_name,target_chembl_id,target_name,standard_value,standard_units,standard_type
CHEMBL6273,FLEROXACIN,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL6273,FLEROXACIN,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL6287,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL6287,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL419287,,CHEMBL354,Escherichia coli,3.13,ug.mL-1,MIC
CHEMBL94959,,CHEMBL354,Escherichia coli,0.39,ug.mL-1,MIC
CHEMBL94959,,CHEMBL354,Escherichia coli,0.39,ug.mL-1,MIC
CHEMBL46664,,CHEMBL354,Escherichia coli,0.06,ug.mL-1,MIC
CHEMBL46664,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL279853,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL15426,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15373,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL274980,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL2367599,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,4.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,32.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,0.06,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,0.06,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL702,PIPERACILLIN,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL80524,,CHEMBL354,Escherichia coli,6.25,ug.mL-1,MIC
CHEMBL431595,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL433129,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL1788210,,CHEMBL354,Escherichia coli,0.39,ug.mL-1,MIC
CHEMBL1788210,,CHEMBL354,Escherichia coli,0.39,ug.mL-1,MIC
CHEMBL45586,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL45586,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL125318,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL125318,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL15210,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL278008,,CHEMBL354,Escherichia coli,0.013,ug.mL-1,MIC
CHEMBL81351,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL309630,,CHEMBL354,Escherichia coli,3.13,ug.mL-1,MIC
CHEMBL15532,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL275359,,CHEMBL354,Escherichia coli,0.025,ug.mL-1,MIC
CHEMBL15224,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL14866,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL14894,,CHEMBL354,Escherichia coli,3.1,ug.mL-1,MIC
CHEMBL2367644,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL385602,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL34134,,CHEMBL354,Escherichia coli,32.0,ug.mL-1,MIC
CHEMBL287780,,CHEMBL354,Escherichia coli,62.5,ug.mL-1,MIC
CHEMBL771,CYCLOSERINE,CHEMBL354,Escherichia coli,0.25,ug.mL-1,MIC
CHEMBL771,CYCLOSERINE,CHEMBL354,Escherichia coli,0.5,ug.mL-1,MIC
CHEMBL771,CYCLOSERINE,CHEMBL354,Escherichia coli,32.0,ug.mL-1,MIC
CHEMBL771,CYCLOSERINE,CHEMBL354,Escherichia coli,128.0,ug.mL-1,MIC
CHEMBL529,AZITHROMYCIN,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL309642,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL139107,,CHEMBL354,Escherichia coli,0.125,ug.mL-1,MIC
CHEMBL139107,,CHEMBL354,Escherichia coli,0.125,ug.mL-1,MIC
CHEMBL14919,,CHEMBL354,Escherichia coli,0.025,ug.mL-1,MIC
CHEMBL15416,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15511,ENROFLOXACIN,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL15465,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL6265,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL6265,,CHEMBL354,Escherichia coli,3.1,ug.mL-1,MIC
CHEMBL330153,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL330153,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL139580,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL139580,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL139440,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL139440,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL15087,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL15531,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15089,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL14714,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL416160,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL15335,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL15260,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL290078,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL2367626,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL267628,,CHEMBL354,Escherichia coli,3.1,ug.mL-1,MIC
CHEMBL267628,,CHEMBL354,Escherichia coli,6.3,ug.mL-1,MIC
CHEMBL80958,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL139445,,CHEMBL354,Escherichia coli,1.0,ug.mL-1,MIC
CHEMBL139445,,CHEMBL354,Escherichia coli,1.0,ug.mL-1,MIC
CHEMBL136779,,CHEMBL354,Escherichia coli,0.125,ug.mL-1,MIC
CHEMBL136779,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL15372,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL2367614,,CHEMBL354,Escherichia coli,4.0,ug.mL-1,MIC
CHEMBL2367654,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL286374,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL34588,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL277346,OCTYL_GALLATE,CHEMBL354,Escherichia coli,800.0,ug.mL-1,MIC
CHEMBL311136,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL138183,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL138183,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL15170,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL15186,,CHEMBL354,Escherichia coli,0.006,ug.mL-1,MIC
CHEMBL430727,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL2367625,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL2367611,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL2348244,TEICOPLANIN AGLYCON,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL2367630,,CHEMBL354,Escherichia coli,128.0,ug.mL-1,MIC
CHEMBL6259,DIFLOXACIN,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL6259,DIFLOXACIN,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL312347,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL96874,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL96874,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL2092912,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL2092912,,CHEMBL354,Escherichia coli,0.39,ug.mL-1,MIC
CHEMBL335346,,CHEMBL354,Escherichia coli,128.0,ug.mL-1,MIC
CHEMBL335346,,CHEMBL354,Escherichia coli,32.0,ug.mL-1,MIC
CHEMBL47829,,CHEMBL354,Escherichia coli,1.0,ug.mL-1,MIC
CHEMBL47829,,CHEMBL354,Escherichia coli,0.06,ug.mL-1,MIC
CHEMBL139058,,CHEMBL354,Escherichia coli,0.016,ug.mL-1,MIC
CHEMBL139058,,CHEMBL354,Escherichia coli,0.016,ug.mL-1,MIC
CHEMBL124970,,CHEMBL354,Escherichia coli,0.008,ug.mL-1,MIC
CHEMBL124970,,CHEMBL354,Escherichia coli,0.008,ug.mL-1,MIC
CHEMBL141053,,CHEMBL354,Escherichia coli,0.008,ug.mL-1,MIC
CHEMBL141053,,CHEMBL354,Escherichia coli,0.008,ug.mL-1,MIC
CHEMBL15738,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL15340,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL15339,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15523,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL274696,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL437765,RIFAMYCIN,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL2367610,,CHEMBL354,Escherichia coli,128.0,ug.mL-1,MIC
CHEMBL2367657,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL174,AMPICILLIN,CHEMBL354,Escherichia coli,5.0,ug.mL-1,MIC
CHEMBL15324,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL277099,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL263075,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL263075,,CHEMBL354,Escherichia coli,1.6,ug.mL-1,MIC
CHEMBL1795040,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL1795040,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL1795040,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL1795040,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL312774,,CHEMBL354,Escherichia coli,0.78,ug.mL-1,MIC
CHEMBL312025,,CHEMBL354,Escherichia coli,0.39,ug.mL-1,MIC
CHEMBL93821,,CHEMBL354,Escherichia coli,0.39,ug.mL-1,MIC
CHEMBL93821,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL45175,,CHEMBL354,Escherichia coli,0.25,ug.mL-1,MIC
CHEMBL45175,,CHEMBL354,Escherichia coli,0.25,ug.mL-1,MIC
CHEMBL14990,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL31,GATIFLOXACIN,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL311416,,CHEMBL354,Escherichia coli,6.25,ug.mL-1,MIC
CHEMBL94545,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL94545,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL96147,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL96147,,CHEMBL354,Escherichia coli,0.39,ug.mL-1,MIC
CHEMBL344447,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL344447,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL47601,,CHEMBL354,Escherichia coli,32.0,ug.mL-1,MIC
CHEMBL47601,,CHEMBL354,Escherichia coli,1.0,ug.mL-1,MIC
CHEMBL424288,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL424288,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
