"gene","nsnp","PP0","PP1","PP2","PP3","PP4"
"DRD2",8827,3.43155249242269e-32,2.09363750175764e-11,1.63903851046813e-21,0.999999999976211,2.85562713354738e-12
"NEGR1",8029,1.03574251352291e-29,7.04668131177736e-13,1.46982897336086e-17,0.999999151727001,8.48272290934804e-07
"SLC12A5",9939,4.12528899945077e-67,1.82921598163273e-56,1.06836253547911e-13,0.00374102324598552,0.996258976753917
"GPX1",4970,3.04105693685298e-59,1.38571504746656e-46,1.76871901707376e-13,0.80575599223994,0.194244007759876
"FURIN",11142,1.64867086472945e-56,9.80597664733651e-49,1.35420717878754e-11,8.58677048380055e-08,0.99999991411875
"DCC",9790,3.00460377102647e-31,9.67614112522334e-17,8.72891377196073e-16,0.280389673839258,0.719610326160741
