gene,count
IL,151
IL31,84
IL13,75
IL4,62
JAK,43
STAT,31
TRPV1,31
TSLP,26
TRPA1,25
TRP,25
GRP,20
IL33,18
SST,16
IL31RA,16
MRGPRX2,16
PN,15
EASI,15
IL17,14
PBC,14
NRS,14
IL6,13
IL23,12
TNF,12
IL4R,12
STAT3,12
OX40,11
TRPV4,11
IL5,11
CCL17,11
NGF,11
