gene,count
PARE,64
LPS,25
CRISPR,24
GYRA,16
ROS,11
LPXC,11
TB,9
AMP,9
GNB,9
MEDLINE,7
SUMMARY,7
SOS,6
AI,6
ATP,6
PA,5
ESBL,5
SAR,5
DTR,4
EPS,4
RND,4
TLR4,4
PG,4
IC50,4
ATCC,4
MBL,4
US,4
BAM,4
AHL,4
CONTENT,3
KPC,3
