gene,inhibition,growth_ratio,potency
b3374,0.5,1.0,-0.0
b3374,0.7,1.0,-0.0
b3374,0.9,1.0,-0.0
b3374,1.0,1.0,-0.0
b3589,0.0,1.0,0.0
b3589,0.1,1.0,0.0
b3589,0.3,1.0,0.0
b3589,0.5,1.0,0.0
b3589,0.7,1.0,0.0
b3589,0.9,1.0,0.0
b3589,1.0,1.0,0.0
b3619,0.0,1.0,0.0
b3619,0.1,1.0,0.0
b3619,0.3,1.0,0.0
b3619,0.5,1.0,0.0
b3619,0.7,1.0,0.0
b3619,0.9,1.0,0.0
b3619,1.0,1.0,0.0
b3632,0.0,1.0,0.0
b3632,0.1,1.0,0.0
b3632,0.3,1.0,0.0
b3632,0.5,1.0,0.0
b3632,0.7,1.0,0.0
b3632,0.9,1.0,0.0
b3632,1.0,1.0,0.0
b3972,0.0,1.0,0.0
b3972,0.1,1.0,0.0
b3972,0.3,1.0,0.0
b3972,0.5,1.0,0.0
b3972,0.7,1.0,0.0
b3972,0.9,1.0,0.0
b3972,1.0,-0.0,1.0
b3990,0.0,1.0,-0.0
b3990,0.1,1.0,-0.0
b3990,0.3,1.0,-0.0
b3990,0.5,1.0,-0.0
b3990,0.7,1.0,-0.0
b3990,0.9,1.0,-0.0
b3990,1.0,0.0,1.0
b4323,0.0,1.0,-0.0
b4323,0.1,1.0,-0.0
b4323,0.3,1.0,-0.0
b4323,0.5,1.0,-0.0
b4323,0.7,1.0,-0.0
b4323,0.9,1.0,-0.0
b4323,1.0,1.0,-0.0
dxr,0.0,1.0,0.0
dxr,0.1,1.0,0.0
dxr,0.3,1.0,0.0
dxr,0.5,1.0,0.0
dxr,0.7,1.0,0.0
dxr,0.9,1.0,0.0
dxr,1.0,0.0,1.0
fabH,0.0,1.0,-0.0
fabH,0.1,1.0,-0.0
fabH,0.3,1.0,-0.0
fabH,0.5,1.0,-0.0
fabH,0.7,1.0,-0.0
fabH,0.9,1.0,-0.0
fabH,1.0,0.0,1.0
fabI,0.0,1.0,-0.0
fabI,0.1,1.0,-0.0
fabI,0.3,1.0,-0.0
fabI,0.5,1.0,-0.0
fabI,0.7,1.0,-0.0
fabI,0.9,1.0,-0.0
fabI,1.0,0.0,1.0
folA,0.0,1.0,-0.0
folA,0.1,1.0,-0.0
folA,0.3,1.0,-0.0
folA,0.5,1.0,-0.0
folA,0.7,1.0,-0.0
folA,0.9,1.0,-0.0
folA,1.0,-0.0,1.0
folP,0.0,1.0,-0.0
folP,0.1,1.0,-0.0
folP,0.3,1.0,-0.0
folP,0.5,1.0,-0.0
folP,0.7,1.0,-0.0
folP,0.9,1.0,-0.0
folP,1.0,-0.0,1.0
ftsW,0.0,1.0,-0.0
ftsW,0.1,1.0,-0.0
ftsW,0.3,1.0,-0.0
ftsW,0.5,1.0,-0.0
ftsW,0.7,1.0,-0.0
ftsW,0.9,1.0,-0.0
ftsW,1.0,0.0,1.0
ispD,0.0,1.0,-0.0
ispD,0.1,1.0,-0.0
ispD,0.3,1.0,-0.0
ispD,0.5,1.0,-0.0
ispD,0.7,1.0,-0.0
ispD,0.9,1.0,-0.0
ispD,1.0,0.0,1.0
lptD,0.0,1.0,0.0
lptD,0.1,1.0,0.0
lptD,0.3,1.0,0.0
lptD,0.5,1.0,0.0
lptD,0.7,1.0,0.0
lptD,0.9,1.0,0.0
lptD,1.0,0.0,1.0
lpxA,0.0,1.0,-0.0
lpxA,0.1,1.0,-0.0
lpxA,0.3,1.0,-0.0
lpxA,0.5,1.0,-0.0
lpxA,0.7,1.0,-0.0
lpxA,0.9,1.0,-0.0
lpxA,1.0,-0.0,1.0
lpxB,0.0,1.0,-0.0
lpxB,0.1,1.0,-0.0
lpxB,0.3,1.0,-0.0
lpxB,0.5,1.0,-0.0
lpxB,0.7,1.0,-0.0
lpxB,0.9,1.0,-0.0
lpxB,1.0,-0.0,1.0
lpxC,0.0,1.0,0.0
lpxC,0.1,1.0,0.0
lpxC,0.3,1.0,0.0
lpxC,0.5,1.0,0.0
lpxC,0.7,1.0,0.0
lpxC,0.9,1.0,0.0
lpxC,1.0,0.0,1.0
lpxD,0.0,1.0,-0.0
lpxD,0.1,1.0,-0.0
lpxD,0.3,1.0,-0.0
lpxD,0.5,1.0,-0.0
lpxD,0.7,1.0,-0.0
lpxD,0.9,1.0,-0.0
lpxD,1.0,0.0,1.0
murA,0.0,1.0,-0.0
murA,0.1,1.0,-0.0
murA,0.3,1.0,-0.0
murA,0.5,1.0,-0.0
murA,0.7,1.0,-0.0
murA,0.9,1.0,-0.0
murA,1.0,0.0,1.0
murB,0.0,1.0,-0.0
murB,0.1,1.0,-0.0
murB,0.3,1.0,-0.0
murB,0.5,1.0,-0.0
murB,0.7,1.0,-0.0
murB,0.9,1.0,-0.0
murB,1.0,-0.0,1.0
murC,0.0,1.0,-0.0
murC,0.1,1.0,-0.0
murC,0.3,1.0,-0.0
murC,0.5,1.0,-0.0
murC,0.7,1.0,-0.0
murC,0.9,1.0,-0.0
murC,1.0,-0.0,1.0
murD,0.0,1.0,-0.0
murD,0.1,1.0,-0.0
murD,0.3,1.0,-0.0
murD,0.5,1.0,-0.0
murD,0.7,1.0,-0.0
murD,0.9,1.0,-0.0
murD,1.0,0.0,1.0
murE,0.0,1.0,-0.0
murE,0.1,1.0,-0.0
murE,0.3,1.0,-0.0
murE,0.5,1.0,-0.0
murE,0.7,1.0,-0.0
murE,0.9,1.0,-0.0
murE,1.0,0.0,1.0
murF,0.0,1.0,0.0
murF,0.1,1.0,0.0
murF,0.3,1.0,0.0
murF,0.5,1.0,0.0
murF,0.7,1.0,0.0
murF,0.9,1.0,0.0
murF,1.0,0.0,1.0
